name,author,types,popularity,
西行神战篇,龙神万相,战斗,33.2亿,
当大佬从花钱开,阅文漫画 x 深圳云朵屋科技有限公司,古风,2.7亿,
英雄再临（英雄,SF轻小说,战斗,185.8亿,
万族之劫,噼咔噼 x 阅文漫画,战斗,3.6亿,
我成了五个大佬,阅文漫画 x 大周互娱,大女主,3.4亿,
女帝的后宫,拂晓联盟 x Morel,大女主,72.1亿,
贵妃每天只想当,阅文漫画 x 弦得凰,大女主,3709.9万,
从成为外挂开始,昕博承飞,古风,5.5亿,
我有九个女徒弟,博易动漫 x 博易小助手,重生,11.3亿,
非人哉,非人哉,神仙,45.8亿,
氪金成仙,神漫君,修仙,4272.9万,
我的萌宝是僚机,iCiyuan动漫,大女主,1628.4万,
孤城lonel,缘漫动漫-缘娘,古风,10.8亿,
重生成血族总裁,热萌文化,重生,6874.9万,
将军金甲夜不脱,Neoman,古风,1亿,
致命氧气,箫勺映画,总裁,70.4亿,
烂柯棋缘,阅文漫画,古风,7.7亿,
我的天劫女友,Doris,战斗,66.9亿,
胜者为王，败者,有欧气工厂,古风,1692.5万,
妖神记,踏雪君,重生,108.4亿,
最后的男人,灰罗比,末日,4.4亿,
心动的声音,酉麓,复仇,6.9亿,
天堂副本看我攻,希热卓玛漫画 x 希热卓玛,重生,2.1亿,
斗罗大陆 第三,神漫君,战斗,7.1亿,
我在西游pic,缘漫动漫-缘娘,系统,1.1亿,
本王要你,札雅工作室,古风,19亿,
重生游戏：这个,酒久,穿越,1.6亿,
狐妖小红娘,小新,古风,172.2亿,
全球崩坏,阅文漫画,末日,8547.7万,
病娇暴君改拿绿,阅文漫画 x 三福动漫,古风,6936.2万,
我是大还丹,天空树漫工厂,修仙,13.1亿,
郡主不四嫁,贝贝X顾我 x 顾我 x 贝贝,古风,8.1亿,
从精神病院走出,阅文漫画 x 风炫文化,系统,1亿,
魔神的新娘,热萌文化,穿越,13.5亿,
团宠大佬三岁半,阅文漫画 x 金古文化,大女主,7.5亿,
穿越到每个世界,箫勺映画,大女主,3亿,
师父又在撩我（,鸠也 x 魔都浪子,古风,41.4亿,
食色大陆,Doris,穿越,76.3亿,
逆袭之好孕人生,冬漫社 x 冬漫菌,逆袭,27.1亿,
她成了病娇君王,冬漫社 x 漫神动漫 x 冬漫菌,穿越,7.2亿,
悠哉兽世：种种,阅文漫画,大女主,64亿,
成了黑化反派的,修罗,大女主,1667.9万,
本剑仙绝不吃软,冬漫社 x 冬漫菌,重生,46.2亿,
帝国第一团宠皇,大行道动漫,重生,5.8亿,
开局签到超神封,三界动画,机甲,1.6亿,
温柔又狂暴的他,世间文化,战斗,2731.5万,
自定义天庭,有欧气工厂,神仙,1.9亿,
