name,author,types,popularity,
剑途,圣灵工作室,古风,49.4亿,
快把动物放进冰,漫画无聊的冰块,脑洞,1685.6万,
末世凡人之血色,惊奇工场,重生,1606.5万,
都市绝弑狂尊,岛上Project,复仇,6.1亿,
最爱你的那十年,豆腐漫画,总裁,2.1亿,
变身之后，我与,SF轻小说,战斗,5.4亿,
我的王爷三岁半,翻翻动漫武汉部落,古风,43.9亿,
傲娇王爷嚣张妃,快看漫画,古风,1964.2万,
梦神遇到爱,优酷动漫,总裁,8274.4万,
豪门第一盛婚,有鹿文化,大女主,6亿,
爆萌小仙,阅文漫画,古风,4.3亿,
影帝他要闹离婚,岛上Project,总裁,6944.8万,
双杀组合,ecomix 负责人诸葛真,娱乐圈,1.6亿,
最后一个仵作,大麦茶,推理,6983.5万,
今夜与你共度,炙子,重生,9443万,
泳池结爱,global.mrblue,脑洞,3360.5万,
阴错阳差,友人A君,推理,2.8亿,
重生大玩家,有欧气工厂,重生,12.6亿,
至尊神魔,冬漫社,重生,31.4亿,
黎民帝国,十…办,穿越,5325万,
白灵杀手,联络员,推理,53.6亿,
罗刹大人请留步,叮咚酱,穿越,47.8亿,
贺少的闪婚暖妻,阿柯文化,总裁,56亿,
逆天剑神,招西幻题材小公主萌系主笔,古风,4.8亿,
初恋微甜,云中子,脑洞,60.2亿,
无限氪金之神,有狐-宋只鱼,战斗,9.1亿,
冒牌公主（禾林,笑天 x 麻生 步,治愈,90.1万,
阴间商人,本命漫画,灵异,4.4亿,
祖先哥哥等等我,蜜狼漫画,玄幻,,
全兽出击,狛纳世界,战斗,594.5万,
总裁老公爱不够,岛上Project,职场,5.7亿,
被迫成为救世主,聚睿文化,系统,8511万,
酷大叔的恋爱物,homer,脑洞,12.8亿,
领主，不可以！,清泉艺数seven.,古风,6.6亿,
奔跑吧，阴差！,译水 x 茉莉,重生,36亿,
NPC攻略计划,笑话,古风,4367.6万,
我的王还未成年,青玉Gaffey,大女主,85.9亿,
欺负仇人的女儿,云悦读,复仇,1388.5万,
修真四万年,三福动漫 x 三福君,机甲,7.9亿,
帝少专宠霸道妻,冬漫社,总裁,34.3亿,
我的师傅不是人,星际互娱,妖怪,289.3万,
深夜书屋,阅文漫画,灵异,18.1亿,
Detain,global.mrblue,推理,2570.3万,
少主好凶我好爱,阿柯文化,古风,4664.1万,
武庚纪,鬼谷传人,重生,2.1亿,
书院街27号,神鱼漫社,灵异,5490.6万,
军阀老公贼坏：,猫蛋蛋工厂,古风,3.9亿,
一刹那便是永恒,▂L盒子光影,重生,9065万,
冷酷的我,夏天岛工作室,怪物,8884.6万,
零阶,神漫君,战斗,3720万,
重生之剑神归来,橙漫堂,重生,1.8亿,
将军别放纵,西风动漫,古风,1.4亿,
关于欲望这件事,Polarfox,脑洞,6679.7万,
你欠我的,M_丢爷,逆袭,1240.4万,
同居男闺蜜,正月,大女主,80.5亿,
龙王的人鱼新娘,钢笔头,古风,675.7万,
狂犬,林炭炭,怪物,1.1亿,
极品废材小姐,快看漫画 x 风间雪舞（原著） x 暴青漫画,古风,3.2亿,
初夏的恋爱手札,阿精,脑洞,8424.7万,
在总裁漫里寻找,十字星,职场,1.9亿,
虫生,联络员,系统,49.6亿,
我是废柴,联络员,后宫,34.5亿,
异族侍女逆袭记,Haksan,复仇,4042.4万,
长安赋,南宫临尘,脑洞,1260.6万,
我在后宫漫画当,九夏动漫,后宫,9675万,
无法理解,ecomix 负责人诸葛真,娱乐圈,3078.1万,
拾忆长安 ? ,动漫堂,古风,54.5亿,
隐婚厚爱：北爷,瑞庄优漫,职场,3902.9万,
你误会我了,Kidari,职场,6062万,
王者荣耀英雄志,王者荣耀IP团队,古风,2.1亿,
拐个兰陵王做影,箫勺映画,大女主,6.9亿,
G.G,YOYO动漫,脑洞,3521.4万,
最强都市通灵师,鹿鸣动漫,推理,5727.3万,
地藏齐天,八度,灵异,46.6亿,
教主请用刀,蒸汽动漫工作室,古风,2.5亿,
大王饶命之新亭,阅动文化 x 小鱼的蝴蝶结,战斗,4303.5万,
我家太子妃超凶,砂华(??ω?)　 x Momo|(?＇ω＇?)?,古风,30.5亿,
神医毒妃太嚣张,两只猫先生,古风,30.5亿,
国民老公带回家,三福动漫 x 瓶子 x 三福君,职场,11.3亿,
致不灭的你,真岛浩 x 大今良时,穿越,6747.3万,
万界神主,若鸿文化,古风,1.7亿,
九阳帝尊,大行道动漫,古风,3亿,
侠十七,十字星,古风,1.1亿,
倾城狂妃,博易动漫 x 博易小助手,古风,5.4亿,
娇女毒妃,漫神共创 x 共小创,古风,16.4亿,
奥拉星·平行宇,百漫文化,穿越,11.3亿,
夹心之绊,维诗,美食,2.5亿,
拾忆长安 ? ,动漫堂 x 乔乔 x yan,古风,8.8亿,
最强枭雄系统,涂山君,穿越,10.8亿,
王牌神医,本命漫画,战斗,4亿,
天轮,唯羽社,重生,4366万,
机长大人轻点爱,灵创,总裁,46.5亿,
仙界商城,不羁岛工作室,系统,4.1亿,
猎人,翻翻动漫 x 集英社,战斗,4亿,
腹黑少爷小甜妻,冬漫社,总裁,12.6亿,
穿越王妃要升级,向右向左,古风,9.7亿,
书灵破境,承兴动漫,战斗,1亿,
勇者是女孩,知音漫客 x 魔都浪子,穿越,3.3亿,
心锁,阿井,灵异,5亿,
荒隐之城,漫影空间 x 老狐狸,后宫,7.9亿,
路边捡个女朋友,星空社,重生,9340.2万,
苍穹榜之万兽归,未天文化,战斗,2.5亿,
麻雀系男友观察,千海,职场,2亿,
半兽岛,细番茄,怪物,3.2亿,
衰物语,诹蛊七,脑洞,6040.4万,
凤归巢：冷王盛,瑞庄优漫,古风,7846.3万,
重生之都市狂仙,Macworld,系统,7.1亿,
白虎劫,剧象漫画,古风,1.7亿,
琅寰书院,圣灵工作室,古风,175.7亿,
爱的比热容,幕星社 x old先,妖怪,3086.8万,
扶姚直上,博易动漫 x 博易小助手,古风,4.4亿,
奥丽芙的发财计,自由沙漏/旷盛,古风,4133.3万,
红云,吞吞 x ┏小樱┛,古风,8.3亿,
乔乔福音,翻翻动漫 x 荒木飞吕彦,战斗,1822.7万,
你的脸，是我的,安徽微漫,重生,106.5万,
男神萌宝一锅端,冬漫社 x 冬漫菌,总裁,10.9亿,
道门鬼差,神域动漫,灵异,7261.9万,
地府混江龙,岛上Project,后宫,20.8亿,
逆天仙命,鹿鸣动漫,后宫,8.4亿,
通天之路,神居动漫,后宫,1.7亿,
出马仙：我当大,云悦读,灵异,1210.3万,
心河,星空社,脑洞,12.5亿,
舞乐天,黑黑,古风,1711.1万,
乔乔的奇妙冒险,翻翻动漫 x 荒木飞吕彦,脑洞,9668.9万,
他撩人又偷心,深圳云朵屋科技有限公司,总裁,1.3亿,
初恋是CV大神,阿柯文化,职场,1.5亿,
盗墓笔记重启,漫工厂,推理,4.7亿,
校花的贴身保镖,Jerry,修仙,6.6亿,
张公案,鲜漫文化 x 千二百,古风,5.5亿,
寡人有疾 其名,阿柯文化,古风,5.4亿,
错爱成殇,柒漫,总裁,1.2亿,
神级外卖小哥,岛上Project,后宫,20.4亿,
遗落秘境,Cuckoo,重生,1.7亿,
天才宝贝的腹黑,安徽微漫,大女主,3264.9万,
女王的审判,三福动漫,职场,4349.3万,
超能力大侠,女少阁,穿越,4405.7万,
网游之最强猎人,赛客斯文化,穿越,9920.2万,
不许拒绝我,火星动漫 x 六花漫创,职场,7.7亿,
最强神级系统,鱼月动漫,后宫,4.7亿,
相濡易木,星际互娱,娱乐圈,1.2亿,
新娘是男孩子,方块,妖怪,1.8亿,
超级键盘侠,岛上Project,后宫,11.7亿,
亲爱的吸血鬼殿,一只柚子,热血,1.9亿,
冰火魔厨,神漫君,战斗,1亿,
爆笑校园,漫友文化,脑洞,4亿,
阴阳雕刻师,拾漫工作室,灵异,6495.8万,
小丑丹尼,幕星社 x old先,脑洞,1829.9万,
他和她的魔法契,搜狐畅游,战斗,1亿,
一生一世笑苍穹,快看漫画,古风,5540.6万,
卦妃天下,阅文漫画,古风,9亿,
学长纪要,悲惨的数学君,脑洞,1.3亿,
美梦成真的恋金,凤凰网漫画,复仇,3025.8万,
盛宠阴阳妃,大行道动漫,古风,2.2亿,
豪门娇妻：少帅,岛上Project,大女主,4.2亿,
降灵记,cathiei,古风,24.7亿,
中国惊奇先生金,权迎升,职场,6848.7万,
我最亲爱的柳予,阿柯文化,职场,5182.8万,
梦塔之魇魂师,3蓝诺3 x 3蓝诺3,古风,2.3亿,
全职大师年代记,多蕴文化,末日,4452万,
恋人是黑道少爷,洛笙owo,总裁,1.7亿,
末世后我成了野,安徽微漫,丧尸,1.5亿,
我缭不动,涂山君,大女主,1.4亿,
庶女木兰,小飞仙,古风,1.1亿,
闪耀,芝士,娱乐圈,2.2亿,
逆天嫡女：仙尊,岛上Project,古风,6.2亿,
神女大人套路多,番奇动漫,古风,15.8亿,
下堂王妃逆袭记,泛次元文化,古风,80.4万,
言情男主直不了,黄黄火蕉X不辜鸟,脑洞,1.5亿,
符录之捡到一个,十二栋联萌 x 虽虽酱,古风,6.6亿,
心动99天：甜,安徽微漫,总裁,2.5亿,
穿越末世变萌妹,视界制画,穿越,6.1亿,
我真的不是厄运,优时文化,穿越,1.8亿,
异世美男入我怀,阿柯文化,大女主,4201万,
W战歌,toonplus,系统,4.4亿,
我的机器人室友,十字星,战斗,6.4亿,
超能力侍女,Tencent A＆C,大女主,1.5亿,
长城守卫军·盛,王者荣耀IP团队,古风,1.7亿,
魔人演武,风炫文化,复仇,1673.8万,
金牌助理和底层,猫柒柒、阿维,大女主,1685.2万,
万古天帝,岛上Project,后宫,8.9亿,
喂！别动我的奶,左岸卡漫,重生,2.6亿,
乌龙院大长篇,诺动漫工作室,古风,5.3亿,
理智归零,Docurro,灵异,5223.3万,
拐个Boss当,你的名字,大女主,8040.2万,
穿越效应,神北克,穿越,4231.3万,
魔卡少女樱CL,真岛浩 x CLAMP,大女主,1.1亿,
总有神仙想害我,岛上Project,后宫,6.5亿,
回到明朝当王爷,神漫君,古风,1621.2万,
重生娱乐圈：天,阅文漫画,总裁,23.4亿,
重生之神帝归来,大行道动漫,重生,2.4亿,
大唐遗案录,漫喵,古风,2501.6万,
唐三藏之梦（西,冬天吃个饺子,古风,460万,
我真的不是女神,漫悠斋 x 有风自南,战斗,11.6亿,
王牌冰锋,翻翻动漫,逆袭,1337.4万,
末世逆变,King J_强记,末日,898.4万,
陌生世界,辰东&竹与舟文化&夏天岛工作室,战斗,8.7亿,
world game,日设月计,推理,2.5亿,
史上第一掌门,大行道动漫 x 沃尔血蹄,穿越,6.6亿,
临兵斗者,沉乡,战斗,11.3万,
王者天下,翻翻动漫 x 集英社,古风,4亿,
赤狐,ecomix 负责人诸葛真,大女主,1022万,
小潮,金姸（jaedam）,职场,1亿,
鸿天神尊,雪球漫画,古风,6.6亿,
恋爱云书,云图—蓝鱼漫画 x 格子,娱乐圈,32.6亿,
唇舌法则,有狐-宋只鱼,复仇,1.9亿,
无敌勇者王,孙渣,战斗,955.4万,
枪火天灵,玄蚂文化,机甲,523.8万,
灵武帝尊,博易动漫 x 博易小助手,古风,4.7亿,
逆天神龙系统,岛上Project,后宫,12.3亿,
都市超级神尊,泛次元文化,重生,5.7亿,
入骨婚宠：腹黑,招西幻题材小公主萌系主笔,总裁,1.2亿,
都市之最强狂兵,本命漫画,战斗,2.1亿,
站住！小哑妻,阿柯文化,总裁,3.4亿,
明星红包系统,联络员,系统,7.1亿,
安菟之幸运的星,蜜枝科技,逆袭,2亿,
天行轶事,知音漫客,古风,1亿,
食戟之灵,翻翻动漫 x 附田_斗,美食,22.6亿,
我的灵界女友们,安徽微漫,后宫,2.7亿,
我是高富帅,SF轻小说,职场,25.6亿,
别烦我修仙,岛上Project,复仇,5.3亿,
氪金之王,虎虎生威动漫,战斗,3亿,
神笔马尚,糖人家 x Dong,妖怪,14.9亿,
魔王大人是女仆,缘漫动漫-缘娘,逆袭,4558.7万,
君上的小公主,钢笔头,古风,499.8万,
蛊真人,燃绘文化,古风,4亿,
崩坏3rd,米哈游,战斗,2亿,
幻兽学院的女寝,咪咕动漫原创漫画,妖怪,3.3亿,
心缚,原色动漫,职场,1.7亿,
神魔天煞,拾部君,古风,37.7亿,
天外江湖之我的,搜狐畅游,系统,1.1亿,
墓城诡事,安徽微漫,灵异,115.9万,
世子竟想玩养成,安徽微漫,穿越,260.7万,
来自不良的调教,触漫APP,脑洞,3.3亿,
在下爱神,鲜漫文化,神仙,1.6亿,
阎罗狱狄,番奇动漫,战斗,3亿,
虫变,瑜亮,推理,9.9亿,
宠妻成瘾：陆少,漫道酱,职场,15亿,
家有萌妻,泛次元文化,总裁,6.7亿,
爵世恋人,kakao君,大女主,1.7亿,
白门五甲,戍阳,古风,3.2亿,
穿越王妃，夫君,montage,古风,8399.5万,
Love Song,Nagy,脑洞,6866.2万,
昏婚欲睡,阿柯文化,总裁,3686.3万,
反差萌不萌,吃饱饭工厂,脑洞,1838万,
透视之眼（精修,若鸿文化,灵异,2.9亿,
最后的召唤师,ASK动画,战斗,18亿,
谢文东,分布文化,战斗,12.2亿,
极刑·饭,咪咕动漫原创漫画,怪物,5.7亿,
绝世炼丹师,开源动漫,古风,24.9亿,
偶像无限制99,翻翻动漫,推理,16.5亿,
传武之六合帮篇,gk工坊 x 猫要喝咖啡,古风,2232.3万,
仙山传奇,转轮手枪,复仇,14.8亿,
应声入网!,草宝金,战斗,24.8亿,
宿舍里的动物园,翻翻动漫,妖怪,8591.3万,
反派的救赎,toyou,穿越,2.5亿,
异狩志,三七坊,古风,11.4万,
系统逼我做皇后,招西幻题材小公主萌系主笔,古风,5亿,
都市之修真归来,火星动漫,重生,10.7亿,
时空使徒,白骁,战斗,15.5亿,
蛊惑人心,橘子皮文化,古风,1.6亿,
诸天至尊,掌阅漫画 x 沉乡,战斗,8.1亿,
一禅小和尚,一禅小和尚,古风,4.7亿,
龙少的小白甜妻,安徽微漫,总裁,1.7亿,
氪金封神,野猪骑士,重生,5.5亿,
除魔放学后,风人动漫,灵异,3.4亿,
你们要上天,番奇动漫,灵异,2.1亿,
最讨厌的人,Maye(魅),战斗,1.9亿,
飞行星球,火星动漫,总裁,10.3亿,
一代诡妃,岛上Project,大女主,5.8亿,
男神爸比从天降,冬漫社,总裁,6.7亿,
萌宝来袭：妈咪,阿柯文化,娱乐圈,9.8亿,
超级共享男友系,iCiyuan动漫,系统,2.8亿,
心动舞台——星,畅漫君,娱乐圈,1.4亿,
灵能兵王,鸡庚,复仇,1.2亿,
哪吒拯救计划,鹿麻,治愈,5286.8万,
我在末世捡兽娘,有狐-宋只鱼,穿越,1.3亿,
铁姬钢兵之十日,白辰广,大女主,1268.4万,
我的逆天神器,苍兰动漫工作室 x 猫妖 x ぁ湫潼ぁ,搞笑,42.2亿,
什么鬼,汤十碗,怪物,5.7亿,
近身保镖,极光传媒,神豪,2.3亿,
地狱医院,安徽微漫,灵异,235万,
左手的世界,不空文化 左手韩 x 左手韩,脑洞,7.5亿,
冷宫废后要逆天,钢笔头,穿越,427.5万,
剑仁,▂L盒子光影,古风,11.2亿,
别爱我，没结果,安徽微漫,后宫,198.4万,
爆宠狂妻之神医,风行漫画,古风,14.8亿,
伊甸星原 ED,真岛浩 x 真岛浩,穿越,1625万,
夔龙玉,画个漫画工作室,战斗,958.5万,
棋魂,翻翻动漫 x 集英社,战斗,2.6亿,
笑傲江湖,凤凰娱乐,古风,13.4亿,
经常请吃饭的理,KENAZ,职场,6351.3万,
我和26岁美女,插电动漫,逆袭,12.9亿,
尊上,钢笔头,古风,274.7万,
小人物,沈城画风,战斗,2210.8万,
白狐和黑兔,     他名七月          ,神仙,6869.9万,
废柴小姐的恋爱,安徽微漫,穿越,94万,
我才不是男二号,初心漫画,大女主,5788.3万,
纯情丫头休想逃,冬漫社,总裁,8.2亿,
后厨的战争,奇影动漫,美食,6亿,
致命游戏,火星动漫,职场,4436.7万,
猫妖九生,薇薇一笑,脑洞,3365.6万,
完美老公进化论,一只柚子,总裁,4.4亿,
野良神,真岛浩 x 安达渡嘉,复仇,2.2亿,
结爱·千岁大人,天闻角川 x 天闻角川,妖怪,3220.9万,
仙魔同修,大行道动漫,古风,7.9亿,
宠物天王,风炫文化,脑洞,4.9亿,
仙风剑雨录,若鸿文化,修仙,7752.7万,
绝品医圣,仟绘动漫,重生,4743万,
总裁患有恐女症,安徽微漫,总裁,53.6万,
阎王不高兴,使徒子,搞笑,12.2亿,
乱马1/2,小学馆作品,战斗,1.2亿,
中华神医,极光传媒,后宫,17.3亿,
医武至尊,招西幻题材小公主萌系主笔,权谋,2.6亿,
阿闷的生活,幕星社 x 阿闷aman,脑洞,5.3亿,
次元战争·红龙,知音漫客,逆袭,2.7亿,
妹魔都,星际互娱,怪物,823.9万,
绝世神尊,巴山夜雨,古风,9275.8万,
天使不会笑,獒龙夹蛋侠,重生,891.4万,
彩蝶画姬,一直看漫画,古风,1亿,
都市至尊,火星动漫,后宫,5.4亿,
天才小毒妃（《,博易动漫 x 博易小助手,古风,5.5亿,
假面替身,DAZUI,复仇,11.4亿,
王爷饿了,璎珞,古风,6.7亿,
牧神记,李晓楠,古风,1.3亿,
套路先生的恋爱,快看漫画,总裁,1.6亿,
黄泉笔记,岛上Project,灵异,9566万,
穿高跟鞋的魔女,青玉Gaffey,职场,18.1亿,
打野之王,知更,末日,4.2亿,
入梦诡店,星空社,复仇,1.4亿,
万道成神,触岛漫画,古风,5.5亿,
凤还朝，妖孽王,翻翻动漫,古风,17.5亿,
纹阴师,岛上Project,灵异,12.4亿,
梦回南朝,流浪草工作室,古风,1.7亿,
画江湖之不良人,剧能玩,古风,207万,
找到我，找到你,Nagy,脑洞,872.7万,
骑士的梦无法成,ecomix 负责人诸葛真,古风,2673.6万,
天符战纪,蒸汽动漫工作室,古风,3.2亿,
总裁大人的甜蜜,QQ动漫,总裁,7.9亿,
王者渡劫录,箫煜 x 江樹蜀黍,古风,14亿,
凰妃九千岁,柒漫,大女主,5.3亿,
都市至尊系统,大行道动漫,系统,5亿,
陆少的暖婚新妻,仟绘动漫,总裁,5.4亿,
最后的阴阳先生,招西幻题材小公主萌系主笔,推理,6060.7万,
慕南枝,阅文漫画,古风,3.1亿,
我是我妻,SF轻小说,穿越,11.9亿,
满满一勺你的心,ecomix 负责人诸葛真,职场,757.4万,
炼废通神,阅动文化,复仇,6.8亿,
透视医圣,塔读文学&圣哲文化,后宫,2.1亿,
把我交给狼主任,会火漫画,职场,1.4亿,
最强兵王,阅动文化,战斗,6.3亿,
暖婚撩人，顾少,快看漫画,总裁,6623.7万,
战神联盟 圣剑,淘米梦想学院,战斗,616.4万,
小倩投食计划,零姬nalo x 嵇零 (ケイレイ-ZERO）,灵异,19.9亿,
吸血鬼男神,招西幻题材小公主萌系主笔,大女主,14.1亿,
梦境毁灭Dre,kakao君,丧尸,4680.6万,
山河社稷图,月藏,战斗,16.2亿,
食色大陆之厨神,Doris,美食,1006万,
深夜食堂,小学馆作品,美食,3867.6万,
咱门派是炼丹的,茅台,古风,4075万,
LIGHT-双,夏天岛工作室 x 锐思 x 伊凯,搞笑,6.8亿,
六迹之梦魇宫,神漫君,战斗,810.2万,
头文字D,真岛浩 x 重野秀一,战斗,1.9亿,
阿多尼斯,多蕴文化,大女主,4.3亿,
盛世甜宠：易少,有鹿文化,大女主,3.1亿,
寄生少女,周鼠叔,战斗,42.4亿,
塔奇,路人甘,战斗,33.3亿,
家庭教师,翻翻动漫 x 天野明,战斗,12.8亿,
一口也不吃,大鬼,职场,2073万,
我的大宝剑,刺猬猫漫画,后宫,4.6亿,
威鸣神斗,神漫君,战斗,3281.9万,
带妹修仙在都市,时光鱼文化,战斗,3343.2万,
永夜君王,神漫君,战斗,1633.4万,
锦鲤大神帮帮我,桂非糖-桂子,神仙,6.2亿,
女王之刃,博易动漫 x 博易小助手,大女主,1.9亿,
通神手办,丹青映画/暗夜/祝容X梁茶,穿越,6529.3万,
道宗四圣,金针菇,大女主,50.8万,
星座派,Coo&SInu,脑洞,5092.1万,
我在沙漠等着你,笑天 x 琳娜·克雷姆,大女主,31.1万,
一笑动君心,阿柯文化,古风,4174.8万,
王者荣耀之大魔,QQ动漫,战斗,8.2亿,
恶魔的宠妻,剧象漫画,职场,8.2亿,
大神总想套路我,豆腐漫画,总裁,7967.2万,
如梦令,暴青漫画 x 郝佳思,古风,8.1亿,
专宠贵妃是男人,橘未文化吉祥物,古风,117.1万,
属于你的第二颗,逗伴漫画,职场,6338.5万,
最后的僵尸,global.mrblue,丧尸,5500.7万,
撒旦总裁，别爱,天下书盟,复仇,9059.4万,
无良狂后惑君心,阿柯文化,大女主,2414.4万,
境界触发者,翻翻动漫 x 苇原大介,战斗,2亿,
百慕大,糊,职场,4953.3万,
错惹豪门总裁,开源动漫,娱乐圈,4.3亿,
超级微信,神鱼漫社,系统,11.7亿,
末日降临之时,有鱼漫画 x IRIS,末日,2805.7万,
女神的陷阱,彩虹猫,复仇,141.3亿,
耽美诡谈,菠萝饭,脑洞,5.8亿,
星梦芭蕾,深圳云朵屋科技有限公司,总裁,1.3亿,
离别的岛，重逢,星际互娱,职场,889万,
凤临天下-王妃,颜开文化上传,穿越,15.3亿,
重生只为你,aki,重生,7亿,
xxxHOLi,真岛浩 x CLAMP,热血,950.7万,
妖道至尊之妖皇,乐游映画,古风,1.2亿,
第二人生,吃饱饭工厂,脑洞,4.4亿,
制霸娱乐圈,极天云漫,娱乐圈,9185万,
我是无敌大天才,快看漫画 x 超级内容,后宫,13.5亿,
因为我是开武器,SF轻小说,重生,64亿,
龙敖天,C真,战斗,1.9亿,
神仙大人求收养,极光传媒,穿越,5468万,
十二神兵器,三福动漫,战斗,1049.9万,
懒散初唐,理池,穿越,4227.6万,
双生灵探,鱼骨头漫画工作室,推理,18.4亿,
揍他,夏小卷,重生,4.4亿,
猫之茗,糖人家 x 猴淳良,穿越,4.1亿,
一世安然,一鱼文化,大女主,10.5亿,
火影忍者（全彩,翻翻动漫 x 集英社,战斗,6亿,
终末（尸灾异变,奇鸽,末日,754.9万,
先婚后宠小娇妻,畅读书城,职场,1.7亿,
初恋不NG,希子,娱乐圈,2204.4万,
神秘帝少甜宠妻,冬漫社,逆袭,10.7亿,
要被恶龙吃掉了,猫蛋蛋工厂,古风,3.1亿,
乱世囚宠：我的,招西幻题材小公主萌系主笔,古风,2.7亿,
蚀日行者,奚甄胥工作室,复仇,7639.3万,
重生之老子是皇,水沫,穿越,7.4亿,
幽游白书,翻翻动漫 x 集英社,战斗,2.5亿,
迈向克里玛莎,我是隐身的,后宫,5万,
精灵梦叶罗丽第,精英动漫,大女主,2761.8万,
王爷你好坏,万二,古风,5.7亿,
我的守护女友（,阅文漫画,丧尸,7809.4万,
凤命为凰,岛上Project,古风,8亿,
君临臣下,花香蘑菇,后宫,22.2亿,
寿医,正月,穿越,1.3亿,
武逆九天,岛上Project,复仇,10.9亿,
帝宫东凰飞,快看漫画,宫斗,7553.4万,
鬼仙,牛腩粉,大女主,1.2亿,
我入地狱,loi,战斗,7946.9万,
帝豪老公太狂热,Doris,总裁,16.1亿,
绝世宗主凌凌霄,贩次元,逆袭,3461.4万,
浪客剑心,翻翻动漫 x 集英社,复仇,1.2亿,
我才不想当太子,极光传媒,穿越,6545.3万,
玄界之门,凯撒文化-木木,古风,18.3亿,
魇世界,悟漫田-曹芮搏,穿越,3.2亿,
女装不是我的错,噼咔噼,古风,2.9亿,
无妄之灾,两套金漫画工作室 x 勇猛小犊子,战斗,19.5亿,
约定的梦幻岛,翻翻动漫 x 集英社,战斗,6879.9万,
佣兵女王伊芙琳,justoon,大女主,5863.3万,
我不要这样的脱,千秋叶,穿越,15.4亿,
重生杀手巨星,DAZUI,穿越,6.1亿,
逆光少女,大周互娱 x 大周互娱-阿醒,后宫,4.9亿,
界限公约,风炫文化,脑洞,3481.5万,
第一序列,博易动漫 x 肘子 x 左徒,末日,6.3万,
金田一少年事件,真岛浩 x 天树征丸 x 金成阳三郎,推理,2.1亿,
绝世剑神,岛上Project,战斗,15.2亿,
五行天,云深工作室,修仙,5亿,
极寒攻略,3000W,末日,1亿,
恋爱真香定律,大行道动漫,总裁,7783.7万,
完美无缺的虏获,ecomix 负责人诸葛真,总裁,8558.7万,
黑良,十字星,后宫,12.2亿,
这届妖怪不太行,暴青漫画,妖怪,5464.3万,
花非花,夏小卷,古风,6.8亿,
致2008,有狐-宋只鱼,青春,3.4亿,
从无到有,Haksan,职场,973.3万,
超凡传,两只猫先生,古风,20.7亿,
我欲封天,阅文漫画,古风,4.8亿,
少年的裙摆,芝士,推理,2.2亿,
哦！我的助手大,Kidari,职场,336.8万,
漫画《红楼梦》,博今,古风,49.9万,
恶女的惩罚游戏,DAZUI,大女主,6亿,
皇上吉祥,有狐-宋只鱼,后宫,9.2亿,
尸期将至,星际互娱,丧尸,1.1亿,
绑个明星做男票,深圳云朵屋科技有限公司,娱乐圈,137亿,
我被爱豆不可描,本命漫画,娱乐圈,1.7亿,
邪王神妃：医手,Macworld,古风,8.1亿,
昼夜onlin,翻翻动漫,战斗,2.9亿,
美女大小姐的僵,神鱼漫社,灵异,5.8亿,
锦绣重生：早安,阿柯文化,职场,3.5亿,
超级收益宝,琪漫文化-小麦,系统,2.2亿,
皇子，你想干啥,kakao君,大女主,2.6亿,
我被嫌疑人刷屏,有欧气工厂,推理,3亿,
野区老祖,一片天 x 正月兜子,电竞,34.5亿,
圣斗士星矢,翻翻动漫 x 车田正美,战斗,4.7亿,
都市修炼狂潮,鹿漫社X火星小说网,战斗,5.8亿,
Hello甜心,世间文化,总裁,5.1亿,
叶公不好龙,如氏婆,古风,7493.7万,
天才双宝：傲娇,仟绘动漫 x ?。,总裁,5.5亿,
王爷，奴家减个,博易动漫 x 博易小助手,古风,6.9亿,
据说我是王的女,多蕴文化,大女主,22.7亿,
一世成仙,阿柯文化,古风,9833.5万,
驭兽灵妃,博易动漫 x 博易小助手,古风,1.2亿,
你的告白已签收,多蕴文化,穿越,1.9亿,
豹系男友的千层,深圳云朵屋科技有限公司,职场,4.1亿,
猎能者（猎能者,大周互娱,热血,20.4亿,
无敌神豪系统,噼咔噼,系统,1.1亿,
成为勇者导师吧,串串串串,系统,1.2亿,
丞相大人求休妻,星际互娱,古风,3159.2万,
HUNT十二圣,缘漫动漫-缘娘,末日,2862.4万,
新界,无名的睡神,穿越,79.1万,
十米之内,鲜漫文化,热血,2.2亿,
噩诡夜宵,安徽微漫,灵异,81.9万,
绝世奶霸,日辰,热血,3.7亿,
赤灵,幻马群英社,战斗,2亿,
欢迎来到地球,上海我梦动漫,推理,1.5亿,
帝少，你老婆又,菲菲,总裁,9.9亿,
魔王恋爱指南,蔷薇事务所 x 深渊主宰,浪漫,64.3亿,
男神你马甲掉了,安徽微漫,总裁,29.5万,
吞噬领域,快看漫画 x 游方小仙,重生,10.3亿,
春日宴,小桐,古风,1.5亿,
在爱情杀死我之,麟琅工作室,重生,23.2亿,
我可不是老实人,yaua,职场,5.1亿,
我在网游捡碎片,插电动漫,系统,7456万,
傲娇鬼王爱上我,比格熊,妖怪,7.3亿,
你是我的不死药,global.mrblue,古风,209.2万,
亿万总裁，霸道,千海,总裁,1.8亿,
王爵的私有宝贝,深圳云朵屋科技有限公司,总裁,20亿,
银魂,翻翻动漫 x 空知英秋,战斗,14.2亿,
愿你安生不离笑,漫看,脑洞,1.1亿,
阴阳界的新娘,深圳云朵屋科技有限公司,战斗,11.8亿,
明星是血族,钢笔头,娱乐圈,334.1万,
夺婚恶少,漫悠悠,复仇,21.3亿,
我的锦鲤少女,　B·King x chiu,神仙,60.5亿,
隐婚神秘影帝：,江景海琦,娱乐圈,5亿,
贞操拯救者,零姬nalo,穿越,13.7亿,
