0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,1 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
1 ,0 
1 ,1 
0 ,0 
0 ,0 
0 ,0 
6 ,1 
0 ,0 
2 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
3 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
5 ,1 
2 ,0 
0 ,0 
2 ,0 
7 ,2 
9 ,0 
1 ,0 
5 ,0 
3 ,1 
3 ,0 
8 ,1 
1 ,0 
12 ,2 
1 ,0 
0 ,0 
2 ,0 
2 ,0 
3 ,1 
0 ,0 
1 ,0 
1 ,0 
4 ,0 
0 ,0 
2 ,2 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
1 ,0 
2 ,0 
2 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,1 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
1 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
0 ,0 
