1.6023, 1.18%, 1.6023, 指数型-股票, 高风险， 0.54亿元（2021-12-31）, 孙悦, 成 立 日, ：, 基金评级, 中证红利低波动指数  , 0.15%
1.1188, 1.01%, 1.1604, 指数型-股票, 高风险， 0.65亿元（2021-12-31）, 曾理, 2019-09-06, 景顺长城基金, , 中证沪港深红利成长低波动人民币指数  , 0.13%
1.1143, 1.01%, 1.1533, 指数型-股票, 高风险， 0.05亿元（2021-12-31）, 曾理, 2019-09-06, 景顺长城基金, , 中证沪港深红利成长低波动人民币指数  , 0.13%
1.5036, 1.15%, 1.5036, 指数型-股票, 高风险， 0.26亿元（2021-12-31）, 柳军, 2019-07-15, 华泰柏瑞基金, , 中证红利低波动指数  , 0.14%
1.4912, 1.15%, 1.4912, 指数型-股票, 高风险， 0.07亿元（2021-12-31）, 柳军, 2019-07-15, 华泰柏瑞基金, , 中证红利低波动指数  , 0.14%
1.0357, -1.64%, 1.0357, 指数型-股票, 高风险， 1.36亿元（2021-12-31）, 梁杏, 2021-07-02, 国泰基金, , 中证畜牧养殖指数  , --
2.0152, 1.26%, 2.0152, 指数型-股票, 高风险， 1.09亿元（2021-12-31）, 盛丰衍, 成 立 日, ：, 基金评级, 中证国有企业红利指数  , 0.27%
1.6502, 2.54%, 1.6502, 股票型, 高风险， 0.37亿元（2021-12-31）, 陈小鹭, 2019-12-25, 工银瑞信基金, , 基金评级, 暂无评级
1.0334, -1.65%, 1.0334, 指数型-股票, 高风险， 2.62亿元（2021-12-31）, 梁杏, 2021-07-02, 国泰基金, , 中证畜牧养殖指数  , --
0.9063, 3.87%, 0.9063, 指数型-股票, 高风险， 22.94亿元（2021-12-31）, 霍华明, 2018-02-01, 广发基金, , 中证基建工程指数  , 0.15%
1.9729, 1.26%, 1.9729, 指数型-股票, 高风险， 0.74亿元（2021-12-31）, 盛丰衍, 成 立 日, ：, 基金评级, 中证国有企业红利指数  , 0.27%
0.9010, 3.86%, 0.9010, 指数型-股票, 高风险， 28.04亿元（2021-12-31）, 霍华明, 2018-02-01, 广发基金, , 中证基建工程指数  , 0.15%
1.6203, 2.54%, 1.6203, 股票型, 高风险， 0.30亿元（2021-12-31）, 陈小鹭, 2019-12-25, 工银瑞信基金, , 基金评级, 暂无评级
1.4181, 0.01%, 1.4181, 股票型, 高风险， 4.64亿元（2021-12-31）, 王浩冰, 2021-01-20, 创金合信基金, , 基金评级, 暂无评级
0.9692, 0.75%, 0.9692, 指数型-股票, 高风险， 0.47亿元（2021-12-31）, 姚楠燕, 成 立 日, ：, 基金评级, 中证银行指数  , --
1.3142, 0.77%, 1.4790, 指数型-股票, 高风险， 10.14亿元（2021-12-31）, 赵云阳, 2015-06-09, 博时基金, , 中证银行指数  , 0.10%
1.4096, 0.00%, 1.4096, 股票型, 高风险， 7.54亿元（2021-12-31）, 王浩冰, 2021-01-20, 创金合信基金, , 基金评级, 暂无评级
0.9656, 0.75%, 0.9656, 指数型-股票, 高风险， 0.41亿元（2021-12-31）, 姚楠燕, 成 立 日, ：, 基金评级, 中证银行指数  , --
1.1996, 0.74%, 1.1996, 指数型-股票, 高风险， 2.27亿元（2021-12-31）, 李俊, 2019-12-06, 华夏基金, , 中证银行指数  , 0.13%
0.8347, 3.87%, 0.8427, 指数型-股票, 高风险， 10.66亿元（2021-12-31）, 黄稚, 2015-08-06, 中信保诚基金, , 中证基建工程指数  , 0.16%
