店名	星级	评论数	关键词	地址	人均消费
草原往事·冰煮鲜羊（日月光店）	4.4	26	日月光中心广场	黄浦区徐家汇路618号日月光中心广场瑞金区3层02号	101.0
聚辣重庆麻辣火锅（虹口足球场店）	3.4	1082	虹口龙之梦	虹口区花园路16号嘉和国际大厦2楼（虹口龙之梦对面）	97.0
大龙燚火锅（娄山关店）	4.0	7	娄山关路/威宁路	长宁区娄山关路882-884号（娄山关路与云雾山路交叉口）	126.0
四川香天下火锅（曲阳店）	4.1	819	曲阳地区	虹口区曲阳路566号家乐福4楼（玉田路288号）	98.0
大龙燚火锅（大木桥路店）	3.7	27	肇嘉浜路/中山医院	徐汇区大木桥路360号（近斜土路，茶陵路）	118.0
天府·锅娃子四川火锅	3.5	4	南翔	嘉定区上海市嘉定区宝翔路801号五彩城b1f	88.0
旺晖火锅城（中原店）	3.6	1670	中原地区	杨浦区中原路278号（原虹霞火锅城）	60.0
老渝城正宗重庆老火锅（临沂路店）	5.0	3	世博园	浦东新区临沂140号百联商场3楼	89.0
小辉哥火锅（环球港店）	4.3	9160	月星环球港	普陀区中山北路3300号环球港花园大厅3层L3123号	109.0
大渝火锅（合生汇店）	3.8	645	五角场/大学区	杨浦区翔殷路1099号合生汇B1	110.0
重庆刘一手火锅（虹桥店）	4.5	10	虹桥枢纽周边区	青浦区新府中路华新镇博隆商业广场4栋一124号	80.0
大龙燚火锅（长寿店）	3.1	20	长寿路	普陀区长寿路398号2楼（近常德路）	141.0
四川香天下火锅（川沙店）	3.4	29	浦东新区	浦东新区川沙路5600弄绿地云悦坊3号楼1楼（靠近平川路路口）	111.0
大渝火锅（五角场万达店）	3.6	285	五角场/大学区	杨浦区邯郸路600号万达商业广场特力时尚汇1层（大咀、匆匆那年旁）	106.0
四川香天下火锅（大华店）	3.9	1409	大华地区	宝山区真华路950号1楼（近大华二路）	102.0
庆熹火锅（复旦大学店）	3.8	21	五角场/大学区	杨浦区政民路316号（政民路国定路交叉口）	62.0
老北京羊蝎子火锅	4.1	58	东外滩	杨浦区河间路883号-12（河间路与隆昌路交叉口）	63.0
四川香天下火锅（淮海中路店）	4.2	940	淮海路/陕西南路	黄浦区淮海中路755号淮海755商厦5楼（近瑞金二路）	112.0
洞子张老匠火锅（总店）	3.0	4267	宝山城区/吴淞	宝山区淞兴西路248号1号楼（近1919创意码头）	95.0
井格重庆火锅（百盛优客天山店）	3.3	222	娄山关路/威宁路	长宁区天山路889号百盛优客城市广场5F08	105.0
钱家·乔老爷铜炉涮锅（宝山万达店）	4.9	61	宝山万达广场	宝山区一二八纪念路1000弄宝山万达金街3楼325铺（近共和新路、地铁一号线共康路站）	78.0
味蜀吾·成都老火锅（集颛桥店）	4.4	42	颛桥/北桥	闵行区颛桥镇都市路2635弄13号二楼味蜀吾老火锅	87.0
小辉哥火锅（大宁国际商业广场店）	4.3	8290	大宁国际	静安区共和新路1988号大宁国际商业广场11栋5层（近延长路地铁站）	119.0
四川香天下火锅（唐镇店）	4.7	92	张江	浦东新区高科东路777弄1号3层L317号单元	111.0
四川香天下火锅（龙阳店）	3.4	222	浦东新区	浦东新区龙阳路2000号龙阳广场3层	115.0
沪小二老坛酸菜美蛙鸡（淮海中路店）	4.7	68	淮海路/陕西南路	黄浦区淮海中路1号美食城3F	102.0
小辉哥火锅（新世界城店）	3.7	8216	黄浦区	黄浦区南京西路2-68号新世界城9层	106.0
聚辣重庆麻辣火锅（大宁店）	3.4	301	闸北公园	静安区北宝兴路152号（共和新路近洛川路）	85.0
潮辣矿泉水火锅（祁北路店）	5.0	108	美兰湖	宝山区塘西街299弄1号楼110室126室	84.0
虹兴火锅店（南桥立新店）	4.2	5819	奉贤区	奉贤区南桥镇立新中路198号	54.0
雄帝和老重庆火锅馆（张江绿地缤纷广场店）	3.4	18	张江	浦东新区金科路788号绿地·缤纷广场南座2楼（海趣路与荣科路交叉口旁）	127.0
大龙燚火锅（静安店）	4.0	0	静安寺	静安区万航渡路1号环球世界大厦B座3楼（C座旁）	147.0
小辉哥火锅（龙之梦购物中心虹口店）	4.3	8510	虹口龙之梦	虹口区西江湾路388号龙之梦购物中心A座B1层	118.0
香逸火锅（宝山店）	3.9	1102	上海大学	宝山区聚丰园路86号二楼（宏基广场对面）	67.0
坎爷秘制火锅（淮海东路店）	4.0	98	淮海路/陕西南路	黄浦区淮海东路68号（光明中学旁）	123.0
